,pointid,year,period,% bare soil
181,Km_6545.1.14,2024,R1,0.0
182,Km_6564.7,2024,R1,0.0
183,Km_68322.7,2024,R1,0.0
184,Km_69530.1.1,2024,R1,0.0
185,Km_74314.1,2024,R1,0.0
186,Km_75942.1,2024,R1,0.0
187,Km_78832.1.4,2024,R1,0.0
188,Km_7885.4,2024,R1,0.0
189,Km_79299.2,2024,R1,14.10425913928167
190,Km_8009.12,2024,R1,25.85211824340946
191,Km_8030.9,2024,R1,10.757059048129424
192,Km_80562.16,2024,R1,61.54106843942275
193,Km_8064.2.6,2024,R1,0.0
194,Km_8069.5,2024,R1,0.0
195,Km_8151.1,2024,R1,0.0
196,Km_9451.3,2024,R1,0.0
197,Km_9475,2024,R1,0.0
198,Km_9998.1,2024,R1,7.202772789440526
199,Lm_10274.7,2024,R1,24.426826464930976
200,Lm_10276.12,2024,R1,13.475421045550979
201,Lm_10626.4,2024,R1,24.814222462268177
202,Lm_10976.1,2024,R1,0.0
203,Lm_11070,2024,R1,13.594304601207519
204,Lm_11568.1,2024,R1,14.34263981259482
205,Lm_15064.9,2024,R1,0.0
206,Lm_15493.7,2024,R1,0.0
207,Lm_15507.1.3,2024,R1,53.16280974727181
208,Lm_16499,2024,R1,31.080886948496733
209,Lm_16502,2024,R1,3.55153593095353
210,Lm_18391.2,2024,R1,0.0
211,Lm_18408.4,2024,R1,40.51817785169723
212,Lm_18426.7,2024,R1,21.23401261254495
213,Lm_20687.1.15,2024,R1,0.0
214,Lm_23660,2024,R1,8.131249886575233
215,Lm_23808.12,2024,R1,12.037695864851132
216,Lm_25831,2024,R1,11.441047764603509
217,Lm_28084.7,2024,R1,6.050407700166605
218,Lm_28100.8,2024,R1,16.979017856965754
219,Lm_29262.4,2024,R1,42.07254753547024
220,Lm_31204.7,2024,R1,32.05749320566624
221,Lm_32746.7,2024,R1,3.2763471340546406
222,Lm_3302,2024,R1,37.4308012161822
223,Lm_36251.1,2024,R1,6.794257205562563
224,Lm_36340.8,2024,R1,2.86931604805803
225,Lm_36674.1,2024,R1,15.903752530942883
226,Lm_37804.4,2024,R1,22.933112733366638
227,Lm_40976.11,2024,R1,48.2159513269002
228,Lm_42330.1,2024,R1,30.044846644635747
229,Lm_47073.2,2024,R1,50.12641373618089
230,Lm_5106,2024,R1,49.945671507344336
231,Lm_6334.6,2024,R1,21.614744707717676
232,Lm_6747.1,2024,R1,9.454302708760991
233,Lm_7179.1.1,2024,R1,6.025733680125576
234,Lm_7576.2,2024,R1,23.687038601581953
235,Lm_7577.1.13,2024,R1,13.247461021792414
236,Lm_7577.1.17,2024,R1,21.32160504977478
237,Lm_8458.7.2,2024,R1,0.0
238,Lm_8481.6,2024,R1,26.156701096381855
239,Lm_8484.2.3,2024,R1,0.0
240,Lm_8486.3,2024,R1,26.213450698323808
241,Lm_8898.1.8,2024,R1,48.696576697629915
242,Lm_9709.1.6,2024,R1,31.335473247891553
243,Ol_10076,2024,R1,25.04082348695328
244,Ol_10120.5,2024,R1,20.106613654458812
245,Ol_10214.11,2024,R1,11.884792327061891
246,Ol_10359.8,2024,R1,5.273219741395471
247,Ol_1036.21,2024,R1,55.07099605406191
248,Ol_10653.6,2024,R1,14.410281526332366
249,Ol_1068.12,2024,R1,27.017918438738615
250,Ol_10715.3,2024,R1,28.034786357301417
251,Ol_1076.10,2024,R1,50.2667343018711
252,Ol_10812.1,2024,R1,15.49719421188131
253,Ol_1094.1,2024,R1,25.244107889908022
254,Ol_11033.1,2024,R1,21.758316582617457
255,Ol_1107.5,2024,R1,10.383207983446066
256,Ol_1119,2024,R1,24.05208163973719
257,Ol_1125.15,2024,R1,59.175543305039945
258,Ol_11333.2.3,2024,R1,1.7370604980289555
259,Ol_11411,2024,R1,55.00623306652269
260,Ol_115,2024,R1,50.6317568400322
261,Ol_11542,2024,R1,0.5932501697201875
262,Ol_116.1,2024,R1,21.243543231399805
263,Ol_11600.7,2024,R1,8.838813128008447
264,Ol_11694.5,2024,R1,33.14882679093664
265,Ol_11964.4,2024,R1,0.0
266,Ol_12037.5,2024,R1,3.7065497121887288
267,Ol_1238.5,2024,R1,18.70447464042382
268,Ol_1258.4,2024,R1,18.65932024825008
269,Ol_12609.15,2024,R1,28.346898307904432
270,Ol_12833.8,2024,R1,44.58403719702764
271,Ol_12837.16,2024,R1,38.68173749394291
272,Ol_12842.20,2024,R1,71.69644309591806
273,Ol_12988,2024,R1,7.216584201641556
274,Ol_13016.1,2024,R1,56.631031302435396
275,Ol_13047,2024,R1,57.403577631779434
276,Ol_13256.5,2024,R1,35.36005138971863
277,Ol_1348,2024,R1,12.840522305390445
278,Ol_13828,2024,R1,33.418284856474415
279,Ol_139,2024,R1,0.0
280,Ol_14245.12,2024,R1,23.39274609246123
281,Ol_14340.13,2024,R1,66.29387216558646
282,Ol_14436,2024,R1,16.135553244082026
283,Ol_145.2,2024,R1,3.74500222196079
284,Ol_1529.5,2024,R1,56.14933656563069
285,Ol_15393.2,2024,R1,50.30792183192585
286,Ol_15584.1,2024,R1,66.40640512811888
287,Ol_1561.5,2024,R1,44.86826987817462
288,Ol_15619.2,2024,R1,57.307762719673505
289,Ol_1562.2,2024,R1,44.19099031550006
290,Ol_15655,2024,R1,2.277116793560291
291,Ol_1579.7,2024,R1,60.31362349171855
292,Ol_1582.15,2024,R1,15.470544643235884
293,Ol_1585.1,2024,R1,21.353901698689914
294,Ol_1587.1,2024,R1,63.906275444775915
295,Ol_1596.9,2024,R1,18.189945388081572
296,Ol_16.1,2024,R1,15.270897106133877
297,Ol_1609.10,2024,R1,24.5763694389123
298,Ol_1620.4,2024,R1,39.887927973924086
299,Ol_1625.7,2024,R1,54.18229790849535
300,Ol_1626.10,2024,R1,51.780773717739294
301,Ol_16403.1,2024,R1,30.096361684130525
302,Ol_1649.1,2024,R1,10.623418916609339
303,Ol_16672.4,2024,R1,41.20457631527003
304,Ol_16690,2024,R1,9.99075811193465
305,Ol_16774.6,2024,R1,5.438371605567215
306,Ol_1686.1,2024,R1,5.126849493405337
307,Ol_1703.3,2024,R1,36.29953703669959
308,Ol_1703.40,2024,R1,57.57374983381146
309,Ol_1739.3,2024,R1,28.745632666156702
310,Ol_17525.1,2024,R1,13.800885291868696
311,Ol_1765.9,2024,R1,64.29544711444501
312,Ol_18064.5,2024,R1,55.62213186147644
313,Ol_18140.4,2024,R1,49.0371707129252
314,Ol_18277.5,2024,R1,37.12438335811706
315,Ol_18283.20,2024,R1,51.38142530513233
316,Ol_1837.9,2024,R1,17.641184199801405
317,Ol_18690.1.4,2024,R1,0.0
318,Ol_1901.4,2024,R1,37.32769505043542
319,Ol_1903.3,2024,R1,15.807830503684475
320,Ol_1927.11,2024,R1,37.180519728971035
321,Ol_1993.13,2024,R1,39.443487345256926
322,Ol_1997.2,2024,R1,40.352558629452474
323,Ol_20279.4,2024,R1,64.31324731598748
324,Ol_2028.3,2024,R1,27.741140366791644
325,Ol_20289,2024,R1,15.089716479079552
326,Ol_2059.11,2024,R1,51.629833064860065
327,Ol_2063.12,2024,R1,28.0319074888251
328,Ol_20925.6,2024,R1,33.046507251075745
329,Ol_21017.10,2024,R1,28.67405088559331
330,Ol_2137,2024,R1,2.109834676528012
331,Ol_2155.7,2024,R1,45.448395322391264
332,Ol_2231.6,2024,R1,0.0
333,Ol_2249,2024,R1,8.720468388090802
334,Ol_2263.1,2024,R1,15.456357172289929
335,Ol_22696,2024,R1,46.00508010937376
336,Ol_2303.2,2024,R1,31.368766768622375
337,Ol_2307,2024,R1,56.53018897646965
338,Ol_2331.3,2024,R1,13.152125856232411
339,Ol_2358.2,2024,R1,69.11145469324613
340,Ol_2375.1,2024,R1,9.922697857908531
341,Ol_23905.3,2024,R1,48.84564813122809
342,Ol_2395.2,2024,R1,26.79564419179995
343,Ol_2406.2,2024,R1,38.963564442655176
344,Ol_2424.15,2024,R1,58.502475489352015
345,Ol_2426.16,2024,R1,90.23475076159787
346,Ol_2468.6,2024,R1,60.87027913759262
347,Ol_2529.2,2024,R1,0.0
348,Ol_2545.2,2024,R1,5.976457234826355
349,Ol_2546.14,2024,R1,48.169747669812494
350,Ol_2566.13,2024,R1,12.01492681031614
351,Ol_2616.1,2024,R1,52.35870684731325
352,Ol_2773.9,2024,R1,22.124878533985235
353,Ol_2795.5,2024,R1,19.684580793845967
354,Ol_2819.2,2024,R1,49.30965670869103
355,Ol_290.12,2024,R1,18.25520144551082
356,Ol_3161.31,2024,R1,54.22168979090182
357,Ol_3242.2,2024,R1,51.08534083669027
358,Ol_326.1,2024,R1,19.024252506563034
359,Ol_3295.2,2024,R1,32.50141865851004
360,Ol_3329.8,2024,R1,86.85774020797112
361,Ol_3422.10,2024,R1,72.3182082506295
362,Ol_3539.2,2024,R1,13.109581301954718
363,Ol_3553.4,2024,R1,30.223653105422333
364,Ol_3648.7,2024,R1,19.320637391829884
365,Ol_3799.2,2024,R1,46.29701679513822
366,Ol_3828.2,2024,R1,27.352215889367876
367,Ol_3835.5,2024,R1,43.116326804352695
368,Ol_3837.9,2024,R1,66.34011218454941
369,Ol_3848,2024,R1,6.6244918103608
370,Ol_3946.13,2024,R1,36.75527531960635
371,Ol_4193,2024,R1,47.55569895791674
372,Ol_4224.4,2024,R1,7.96253933494431
373,Ol_4229,2024,R1,13.46711093856172
374,Ol_4312.1,2024,R1,13.811158262629233
375,Ol_4452.7,2024,R1,33.35004804778003
376,Ol_4513,2024,R1,38.038322322105905
377,Ol_463.30,2024,R1,47.784692159721146
378,Ol_4678.1,2024,R1,34.44996103447821
379,Ol_4680,2024,R1,10.300239015197562
380,Ol_4857.7,2024,R1,44.101034502159905
381,Ol_5150.5,2024,R1,18.076321136640765
382,Ol_5241.21,2024,R1,9.108912144781309
383,Ol_5258.10,2024,R1,54.288756683070005
384,Ol_5471.8,2024,R1,18.26738271459462
385,Ol_550.4,2024,R1,87.81682747774707
386,Ol_5570.4,2024,R1,1.2377729575187022
387,Ol_5614,2024,R1,13.779859035650144
388,Ol_5663.9,2024,R1,85.40536872112496
389,Ol_5673.5,2024,R1,15.786569836696177
390,Ol_5685.19,2024,R1,80.93820577880335
391,Ol_5687.8,2024,R1,77.82170538044134
392,Ol_5714.1,2024,R1,36.58388290538766
393,Ol_5740.2,2024,R1,9.708549695094257
394,Ol_5811.14,2024,R1,18.059727454142372
395,Ol_5817.11,2024,R1,47.81604835047363
396,Ol_5821.5,2024,R1,0.0
397,Ol_5833.6,2024,R1,0.0
398,Ol_5861.15,2024,R1,11.708186515492685
399,Ol_593.11,2024,R1,63.11151555837158
400,Ol_5930.8,2024,R1,91.27338389010374
401,Ol_5971.17,2024,R1,48.445303319303164
402,Ol_5980.12,2024,R1,8.395077186075863
403,Ol_5983.4,2024,R1,78.79931982190278
404,Ol_5989.15,2024,R1,13.504984100575939
405,Ol_5989.2,2024,R1,11.715135091298837
406,Ol_6022.2,2024,R1,16.460056914802976
407,Ol_6096.2,2024,R1,0.0
408,Ol_619.4,2024,R1,9.014283444583663
409,Ol_6337.16,2024,R1,26.64872101968489
410,Ol_6341.22,2024,R1,41.31839899872972
411,Ol_6360.10,2024,R1,14.958661039644545
412,Ol_6418.8,2024,R1,43.601553625004094
413,Ol_6671.7,2024,R1,40.715372931001596
414,Ol_6782.3,2024,R1,69.6126523619906
415,Ol_683.2,2024,R1,92.62076883120282
416,Ol_6935.8,2024,R1,38.809986748676074
417,Ol_7035.6,2024,R1,70.72900044848183
418,Ol_7084.8,2024,R1,28.86150648104594
