pointid,sample_order,batch,regio,area_prop_sb,openheid_klasse,sbp,x_coord,y_coord,crs
Km_21380.2.18,148,eerste set,Kempen,0,HOL,binnen,225300.904438422,200183.349686717,31370
Km_21405.3,89,eerste set,Kempen,0,HOL,binnen,244602.192627675,200107.957535399,31370
Km_21406.3,21,eerste set,Kempen,0,HOL,binnen,246664.969698879,198612.438894839,31370
Km_21457.2.2,9,eerste set,Kempen,0,HOL,binnen,224502.62290981,200738.616119646,31370
Km_21459.2,356,eerste set,Kempen,0.00414976536272341,HOL,binnen,224603.176407208,200130.014230152,31370
Km_21470.1.4,39,eerste set,Kempen,0,HOL,binnen,246378.749593391,196632.132363997,31370
Km_21483,119,eerste set,Kempen,0.129131630897629,HOL,binnen,223079.304472359,199091.879196762,31370
Km_21546.27,87,eerste set,Kempen,0,HOL,binnen,241344.083215702,205683.568070442,31370
Km_21546.4,75,eerste set,Kempen,0,HOL,binnen,240465.659369389,205049.317458826,31370
Km_21547.1,6,eerste set,Kempen,0.0300675417101362,HOL,binnen,240802.418087184,206526.211439411,31370
Km_21567.9,55,eerste set,Kempen,0,HOL,binnen,239198.073849689,204681.024278035,31370
Km_21570.12,156,eerste set,Kempen,0,HOL,binnen,241633.45319945,206344.048420736,31370
Km_21674.2,36,eerste set,Kempen,0.0330167541133842,HOL,binnen,195838.868000888,210760.532348199,31370
Km_21677.6,267,eerste set,Kempen,0,HOL,binnen,195272.188060815,211059.285372685,31370
Km_22045.4,428,eerste set,Kempen,0,HOL,binnen,203491.362539508,221660.097607391,31370
Km_22128.4,284,eerste set,Kempen,0,HOL,binnen,226192.801052239,203976.348008753,31370
Km_2285.1.6,232,eerste set,Kempen,0,HOL,binnen,223697.71349061,216230.377837822,31370
Km_2285.2,27,eerste set,Kempen,0,HOL,binnen,223733.64659628,216832.981659288,31370
Km_22991.4,80,eerste set,Kempen,0,HOL,binnen,206676.018907604,216747.766087259,31370
Km_23031.1.2,250,eerste set,Kempen,0,HOL,binnen,194790.686576838,188411.93073172,31370
Km_23347.5,77,eerste set,Kempen,0,HOL,binnen,160207.588925335,237833.626603039,31370
Km_23351.22,14,eerste set,Kempen,0,HOL,binnen,160874.998310854,237204.847966228,31370
Km_23353.5,490,eerste set,Kempen,0,HOL,binnen,159453.158543038,238053.513593395,31370
Km_23379.2,216,eerste set,Kempen,0,HOL,binnen,159274.028561335,234324.920840717,31370
Km_23407.5,347,eerste set,Kempen,0.00569581915477028,HOL,binnen,228634.679317223,209548.312730351,31370
Km_23411.1,125,eerste set,Kempen,0,HOL,binnen,236576.220123666,208419.967867009,31370
Km_23609.7,515,eerste set,Kempen,0,HOL,binnen,243950.126999714,193584.000273435,31370
Km_23649.4,164,eerste set,Kempen,0,HOL,binnen,225266.081267857,206485.339122646,31370
Km_24106.5,411,eerste set,Kempen,0,HOL,binnen,203725.850876608,183198.39111501,31370
Km_24176.3,368,eerste set,Kempen,0,HOL,binnen,230947.81514905,215212.785754629,31370
Km_24280.6,343,eerste set,Kempen,0,HOL,binnen,194961.031614989,209290.193872831,31370
Km_24406.4,401,eerste set,Kempen,0.197985854514711,HOL,binnen,226545.346155546,219470.62011139,31370
Km_24535.5,213,eerste set,Kempen,0,HOL,binnen,225354.58279404,218352.118130897,31370
Km_25216,177,eerste set,Kempen,0,HOL,binnen,239307.586274605,209162.316418857,31370
Km_25216.13,218,eerste set,Kempen,0.0739524631672755,HOL,binnen,239223.014194682,209772.198066444,31370
Km_25225,334,eerste set,Kempen,0,HOL,binnen,241844.429807056,201618.6978164,31370
Km_25292.3,83,eerste set,Kempen,0,HOL,binnen,164457.552163562,231504.514687325,31370
